,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,pokhara,NP,2022-06-19 22:51:59,28.2333,83.9833,96,84,73.14800000000002,2.71
1,manzanillo,CU,2022-06-19 22:52:00,20.3433,-77.1167,100,78,76.19000000000003,0.14
2,rikitea,PF,2022-06-19 22:52:00,-23.1203,-134.9692,100,73,72.68000000000004,6.05
3,carnarvon,AU,2022-06-19 22:52:01,-24.8667,113.6333,1,70,68.59399999999997,5.59
4,hami,CN,2022-06-19 22:52:02,42.8,93.45,100,11,89.29399999999998,2.14
5,troitsko-pechorsk,RU,2022-06-19 22:52:02,62.7084,56.1964,100,57,64.45399999999995,1.23
6,busselton,AU,2022-06-19 22:52:03,-33.65,115.3333,85,67,60.16999999999996,2.99
7,arraial do cabo,BR,2022-06-19 22:52:04,-22.9661,-42.0278,100,94,66.434,3.09
8,butaritari,KI,2022-06-19 22:52:05,3.0707,172.7902,21,79,80.924,3.51
9,dicabisagan,PH,2022-06-19 22:52:05,17.0818,122.4157,34,84,82.02200000000005,2.44
10,kibuye,RW,2022-06-19 22:52:06,-2.0597,29.3482,99,65,71.618,0.48
11,barrow,US,2022-06-19 22:52:07,71.2906,-156.7887,100,80,34.088000000000044,4.63
12,airai,TL,2022-06-19 22:52:08,-8.9266,125.4092,100,86,59.342,1.13
13,louisbourg,,,,,,,,
14,meadow lake,US,2022-06-19 22:52:09,34.8014,-106.5436,100,62,63.661999999999956,0.89
15,rong kwang,TH,2022-06-19 22:52:09,18.339,100.3174,76,86,77.66600000000001,1.12
16,arman,RU,2022-06-19 22:52:10,59.7,150.1667,100,96,46.291999999999994,1.94
17,kitimat,CA,2022-06-19 22:52:11,54.0524,-128.6534,97,34,55.184,0.45
18,tasiilaq,GL,2022-06-19 22:52:12,65.6145,-37.6368,43,76,42.674000000000014,0.59
19,meulaboh,ID,2022-06-19 22:52:12,4.1363,96.1285,100,84,78.20600000000003,2.11
20,nanortalik,GL,2022-06-19 22:52:13,60.1432,-45.2371,100,95,43.37599999999999,4.04
21,soisy-sous-montmorency,FR,2022-06-19 22:52:14,48.9881,2.3016,0,67,70.75399999999996,10.29
22,tacarigua,VE,2022-06-19 22:52:14,10.0862,-67.9198,40,78,73.70600000000003,1.03
23,hithadhoo,MV,2022-06-19 22:52:15,-0.6,73.0833,100,66,84.14600000000004,2.12
24,qaanaaq,GL,2022-06-19 22:52:16,77.484,-69.3632,74,87,35.041999999999994,3.27
25,bethel,US,2022-06-19 22:49:40,41.3712,-73.414,0,65,58.73000000000005,5.66
26,bonavista,CA,2022-06-19 22:52:17,48.6499,-53.1147,80,87,56.101999999999975,7.94
27,itoman,JP,2022-06-19 22:52:18,26.1247,127.6694,40,92,83.44399999999997,4.12
28,aramecina,HN,2022-06-19 22:52:19,13.7422,-87.7103,100,88,76.00999999999999,0.26
29,chokurdakh,RU,2022-06-19 22:52:19,70.6333,147.9167,100,96,54.62599999999999,4.69
30,tuktoyaktuk,CA,2022-06-19 22:52:20,69.4541,-133.0374,100,89,36.211999999999954,5.26
31,belushya guba,,,,,,,,
32,sindor,RU,2022-06-19 22:52:21,62.8629,51.8905,100,49,61.12400000000001,2.06
33,upernavik,GL,2022-06-19 22:52:22,72.7868,-56.1549,34,88,34.285999999999966,3
34,ixtapa,MX,2022-06-19 22:52:23,20.7,-105.2,99,83,79.50199999999998,1.06
35,prabumulih,ID,2022-06-19 22:52:23,-3.45,104.25,100,95,76.15399999999995,1.41
36,yellowknife,CA,2022-06-19 22:52:24,62.456,-114.3525,20,63,59.82799999999996,3.09
37,yuci,CN,2022-06-19 22:52:25,37.6803,112.7319,0,48,86.01799999999999,5
38,east london,ZA,2022-06-19 22:52:26,-33.0153,27.9116,0,52,65.60600000000002,5.66
39,tommot,RU,2022-06-19 22:52:26,58.9564,126.2925,0,72,62.07799999999996,2.66
40,aksarka,RU,2022-06-19 22:52:27,66.5606,67.7975,100,71,65.984,1.81
41,tumpat,MY,2022-06-19 22:52:28,6.1978,102.171,20,74,84.45199999999997,2.06
42,kenai,US,2022-06-19 22:52:28,60.5544,-151.2583,100,95,48.524000000000015,0
43,dawlatabad,AF,2022-06-19 22:52:29,36.4141,64.9053,55,24,90.66199999999995,2.33
44,palabuhanratu,,,,,,,,
45,srednekolymsk,RU,2022-06-19 22:52:30,67.45,153.6833,100,50,57.01999999999996,5.47
46,sayyan,YE,2022-06-19 22:52:31,15.1718,44.3244,93,12,80.618,7.41
47,georgetown,MY,2022-06-19 22:51:20,5.4112,100.3354,20,79,84.41600000000001,3.13
48,mount gambier,AU,2022-06-19 22:52:32,-37.8333,140.7667,100,66,53.54600000000005,6.46
49,khatanga,RU,2022-06-19 22:52:33,71.9667,102.5,22,46,49.02799999999996,3.06
50,nikolskoye,RU,2022-06-19 22:52:34,59.7035,30.7861,63,39,63.05,6.8
51,caravelas,BR,2022-06-19 22:52:34,-17.7125,-39.2481,8,61,78.83599999999997,2.69
52,bambous virieux,MU,2022-06-19 22:52:35,-20.3428,57.7575,75,68,75.48800000000006,5.66
53,hilo,US,2022-06-19 22:52:36,19.7297,-155.09,100,83,75.542,2.57
54,bubaque,GW,2022-06-19 22:52:37,11.2833,-15.8333,100,84,78.94399999999997,8.15
55,pisco,PE,2022-06-19 22:47:48,-13.7,-76.2167,75,87,57.29000000000002,2.57
56,kemijarvi,FI,2022-06-19 22:52:38,66.7131,27.4306,99,41,60.727999999999966,4.63
57,vaini,TO,2022-06-19 22:52:38,-21.2,-175.2,75,88,77.43200000000002,3.6
58,kaeo,NZ,2022-06-19 22:50:10,-35.1,173.7833,100,93,57.83000000000004,4.88
59,sao felix do xingu,BR,2022-06-19 22:52:40,-6.6447,-51.995,23,52,84.29000000000002,1.76
60,hermanus,ZA,2022-06-19 22:52:40,-34.4187,19.2345,79,67,61.069999999999965,1.62
61,katangli,RU,2022-06-19 22:52:41,51.7102,143.2326,100,96,44.024000000000015,4.2
62,provideniya,RU,2022-06-19 22:52:42,64.3833,-173.3,6,71,49.064000000000036,3.13
63,codrington,AU,2022-06-19 22:52:43,-38.2667,141.9667,100,68,53.83399999999999,6.41
64,namatanai,PG,2022-06-19 22:52:43,-3.6667,152.4333,35,82,79.05199999999998,1.57
65,ribeira grande,PT,2022-06-19 22:52:44,38.5167,-28.7,40,60,68.66600000000001,10.29
66,tamale,GH,2022-06-19 22:52:45,9.4008,-0.8393,100,67,81.93200000000002,2.45
67,saldanha,ZA,2022-06-19 22:52:45,-33.0117,17.9442,0,68,61.12400000000001,5.61
68,grand river south east,,,,,,,,
69,jamestown,US,2022-06-19 22:52:47,42.097,-79.2353,0,64,58.85600000000003,3.6
70,kahului,US,2022-06-19 22:52:47,20.8947,-156.47,20,79,77.108,4.63
71,marcona,,,,,,,,
72,narsaq,GL,2022-06-19 22:52:49,60.9167,-46.05,100,97,43.75399999999995,1.99
73,faanui,PF,2022-06-19 22:52:49,-16.4833,-151.75,25,77,78.99800000000002,10
74,idrinskoye,RU,2022-06-19 22:52:50,54.3708,92.1358,44,82,64.58000000000004,1.78
75,hakvik,,,,,,,,
76,mackay,AU,2022-06-19 22:52:51,-21.15,149.2,84,79,68.52200000000005,6.79
77,jiayuguan,CN,2022-06-19 22:52:52,39.8167,98.3,100,28,76.316,5.69
78,bandarbeyla,SO,2022-06-19 22:52:53,9.4942,50.8122,98,51,87.94399999999997,12.67
79,severo-kurilsk,RU,2022-06-19 22:52:53,50.6789,156.125,100,97,47.516000000000005,1.3
80,lakselv,NO,2022-06-19 22:52:54,70.0513,24.9718,75,58,53.690000000000026,4.63
